Step,ObjectName,Tag,HitPositionX,HitPositionY,HitPositionZ,Distance
159,Sphere,Untagged,2,22,1,57,47,14,3,63
160,Sphere,Untagged,2,23,1,57,47,03,3,71
161,Sphere,Untagged,2,24,1,57,46,92,3,81
162,Sphere,Untagged,2,26,1,57,46,79,3,93
163,Sphere,Untagged,2,30,1,57,46,62,4,08
164,Sphere,Untagged,2,37,1,57,46,39,4,32
231,Cube (1),Untagged,-2,38,1,57,45,33,5,24
232,Cube (1),Untagged,-2,38,1,57,45,51,5,08
233,Cube (1),Untagged,-2,38,1,57,45,68,4,94
234,Cube (1),Untagged,-2,38,1,57,45,83,4,80
235,Cube (1),Untagged,-2,38,1,57,45,98,4,67
236,Cube (1),Untagged,-2,38,1,57,46,12,4,55
237,Cube (1),Untagged,-2,38,1,57,46,25,4,44
238,Cube (1),Untagged,-2,38,1,57,46,38,4,33
239,Cube (1),Untagged,-2,38,1,57,46,50,4,23
240,Cube (1),Untagged,-2,38,1,57,46,62,4,13
241,Cube (1),Untagged,-2,38,1,57,46,73,4,05
242,Cube (1),Untagged,-2,38,1,57,46,83,3,96
243,Cube (1),Untagged,-2,38,1,57,46,93,3,88
244,Cube (1),Untagged,-2,43,1,57,46,96,3,89
245,Cube (1),Untagged,-2,51,1,57,46,96,3,94
246,Cube (1),Untagged,-2,59,1,57,46,96,3,99
247,Cube (1),Untagged,-2,68,1,57,46,96,4,05
248,Cube (1),Untagged,-2,76,1,57,46,96,4,11
249,Cube (1),Untagged,-2,85,1,57,46,96,4,17
250,Cube (1),Untagged,-2,94,1,57,46,96,4,23
251,Cube (1),Untagged,-3,04,1,57,46,96,4,30
252,Cube (1),Untagged,-3,13,1,57,46,96,4,36
253,Cube (1),Untagged,-3,23,1,57,46,96,4,44
254,Cube (1),Untagged,-3,34,1,57,46,96,4,51
255,Cube (1),Untagged,-3,45,1,57,46,96,4,59
256,Cube (1),Untagged,-3,56,1,57,46,96,4,68
257,Cube (1),Untagged,-3,67,1,57,46,96,4,77
258,Cube (1),Untagged,-3,79,1,57,46,96,4,86
259,Cube (1),Untagged,-3,92,1,57,46,96,4,96
260,Cube (1),Untagged,-4,05,1,57,46,96,5,06
